제목,저자,발행처
게으른 완벽주의자를 위한 심리학 :미루기의 악순환에서 벗어나고 싶은 당신을 위한 심리 처방,헤이든 핀치 지음,시크릿하우스
교도관의 눈 :요코야마 히데오 소설,요코야마 히데오 지음,폭스코너
귀찮지만 행복해 볼까 :번역가 권남희 에세이집,권남희 지음,상상출판
귤의 맛 :조남주 장편소설,조남주 지음,문학동네
그림들 :모마 미술관 도슨트북: The MoMA docent book,Sun 도슨트 지음,나무의마음
글루코스 혁명 :좋아하는 음식을 즐기면서 과학적으로 체중을 줄이는 10가지 방법,제시 인차우스페 지음,아침사과: 범문에듀케이션
기생충 세계에서 살아남기 .1 =Survival in parasite,곰돌이 co. 글,Mirae N 아이세움 : 미래엔
기생충 세계에서 살아남기 .2 =Survival in parasite,곰돌이 co. 글,Mirae N 아이세움 : 미래엔
긴축의 시대 :인플레이션 쇼크와 금리의 역습: inflation shocks and interest rates' counterattack,김광석 지음,21세기북스: 북이십일
김헌의 그리스 로마 신화,김헌 지음,을유문화사
끝내 당신은 뭐든 해낼 겁니다 :모든 편견과 걱정을 꿋꿋이 이겨내고 있는 당신에게,메리아빈 지음,Mindset: 바이포엠 스튜디오
나는 무조건 한 번에 합격한다 :1년 만에 행정고시 합격한 신림동 전설의 초압축 공부법,이형재 지음,웅진지식하우스 : 웅진씽크빅
나는 습관을 조금 바꾸기로 했다,사사키 후미오 지음,쌤앤파커스
나의 차가운 일상 :와카타케 나나미 소설,와카타케 나나미 지음,내 친구의 서재
나의 투자는 새벽 4시에 시작된다 :3년만에 300억으로 돌아온 유목민의 투자 인사이트,유목민 지음,리더스북: 웅진씽크빅
날마다 만우절 :윤성희 소설,윤성희 지음,문학동네
낭만적 연애와 그 후의 일상 :알랭 드 보통 장편소설,알랭 드 보통 [지음],은행나무출판사
내가 되는 꿈 :최진영 장편소설,최진영 지음,현대문학(H)
내가 죽으면 장례식에 누가 와줄까,김상현 지음,필름(Feelm)
내일은 실험왕 :본격 대결 과학실험 만화 : 시즌 2 .01 4차 산업 혁명과 증강 현실,스토리 a. 글,MiraeN 아이세움 : 미래엔
넬라의 비밀 약방 :사라 페너 장편소설,사라 페너 지음,하빌리스: 대원씨아이
